region,ir_video_path,mask_video_path,env_info_path,prompt_ir,prompt_mask
Region A,./Region A/Infrared Videos/video_051.mp4,./Region A/Fire Mask Videos/video_051.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_045.mp4,./Region A/Fire Mask Videos/video_045.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_044.mp4,./Region A/Fire Mask Videos/video_044.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_050.mp4,./Region A/Fire Mask Videos/video_050.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_046.mp4,./Region A/Fire Mask Videos/video_046.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_052.mp4,./Region A/Fire Mask Videos/video_052.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_053.mp4,./Region A/Fire Mask Videos/video_053.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_047.mp4,./Region A/Fire Mask Videos/video_047.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_043.mp4,./Region A/Fire Mask Videos/video_043.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_057.mp4,./Region A/Fire Mask Videos/video_057.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_056.mp4,./Region A/Fire Mask Videos/video_056.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_042.mp4,./Region A/Fire Mask Videos/video_042.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_054.mp4,./Region A/Fire Mask Videos/video_054.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_040.mp4,./Region A/Fire Mask Videos/video_040.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_068.mp4,./Region A/Fire Mask Videos/video_068.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_069.mp4,./Region A/Fire Mask Videos/video_069.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_041.mp4,./Region A/Fire Mask Videos/video_041.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_055.mp4,./Region A/Fire Mask Videos/video_055.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_032.mp4,./Region A/Fire Mask Videos/video_032.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_026.mp4,./Region A/Fire Mask Videos/video_026.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_027.mp4,./Region A/Fire Mask Videos/video_027.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_033.mp4,./Region A/Fire Mask Videos/video_033.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_019.mp4,./Region A/Fire Mask Videos/video_019.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_025.mp4,./Region A/Fire Mask Videos/video_025.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_031.mp4,./Region A/Fire Mask Videos/video_031.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_030.mp4,./Region A/Fire Mask Videos/video_030.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_024.mp4,./Region A/Fire Mask Videos/video_024.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_018.mp4,./Region A/Fire Mask Videos/video_018.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_020.mp4,./Region A/Fire Mask Videos/video_020.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_034.mp4,./Region A/Fire Mask Videos/video_034.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_008.mp4,./Region A/Fire Mask Videos/video_008.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_009.mp4,./Region A/Fire Mask Videos/video_009.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_035.mp4,./Region A/Fire Mask Videos/video_035.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_021.mp4,./Region A/Fire Mask Videos/video_021.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_037.mp4,./Region A/Fire Mask Videos/video_037.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_023.mp4,./Region A/Fire Mask Videos/video_023.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_022.mp4,./Region A/Fire Mask Videos/video_022.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_036.mp4,./Region A/Fire Mask Videos/video_036.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_013.mp4,./Region A/Fire Mask Videos/video_013.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_007.mp4,./Region A/Fire Mask Videos/video_007.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_006.mp4,./Region A/Fire Mask Videos/video_006.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_012.mp4,./Region A/Fire Mask Videos/video_012.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_038.mp4,./Region A/Fire Mask Videos/video_038.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_004.mp4,./Region A/Fire Mask Videos/video_004.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_010.mp4,./Region A/Fire Mask Videos/video_010.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_011.mp4,./Region A/Fire Mask Videos/video_011.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_005.mp4,./Region A/Fire Mask Videos/video_005.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_039.mp4,./Region A/Fire Mask Videos/video_039.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_001.mp4,./Region A/Fire Mask Videos/video_001.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_015.mp4,./Region A/Fire Mask Videos/video_015.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_029.mp4,./Region A/Fire Mask Videos/video_029.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_028.mp4,./Region A/Fire Mask Videos/video_028.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_014.mp4,./Region A/Fire Mask Videos/video_014.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_016.mp4,./Region A/Fire Mask Videos/video_016.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_002.mp4,./Region A/Fire Mask Videos/video_002.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_003.mp4,./Region A/Fire Mask Videos/video_003.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_017.mp4,./Region A/Fire Mask Videos/video_017.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_058.mp4,./Region A/Fire Mask Videos/video_058.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_070.mp4,./Region A/Fire Mask Videos/video_070.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_064.mp4,./Region A/Fire Mask Videos/video_064.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_065.mp4,./Region A/Fire Mask Videos/video_065.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_059.mp4,./Region A/Fire Mask Videos/video_059.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_067.mp4,./Region A/Fire Mask Videos/video_067.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_066.mp4,./Region A/Fire Mask Videos/video_066.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_062.mp4,./Region A/Fire Mask Videos/video_062.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_063.mp4,./Region A/Fire Mask Videos/video_063.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_061.mp4,./Region A/Fire Mask Videos/video_061.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_049.mp4,./Region A/Fire Mask Videos/video_049.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_048.mp4,./Region A/Fire Mask Videos/video_048.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region A,./Region A/Infrared Videos/video_060.mp4,./Region A/Fire Mask Videos/video_060.mp4,./Region A/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_019.mp4,./Region B/Fire Mask Videos/video_019.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_018.mp4,./Region B/Fire Mask Videos/video_018.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_020.mp4,./Region B/Fire Mask Videos/video_020.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_008.mp4,./Region B/Fire Mask Videos/video_008.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_009.mp4,./Region B/Fire Mask Videos/video_009.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_021.mp4,./Region B/Fire Mask Videos/video_021.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_013.mp4,./Region B/Fire Mask Videos/video_013.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_007.mp4,./Region B/Fire Mask Videos/video_007.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_006.mp4,./Region B/Fire Mask Videos/video_006.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_012.mp4,./Region B/Fire Mask Videos/video_012.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_004.mp4,./Region B/Fire Mask Videos/video_004.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_010.mp4,./Region B/Fire Mask Videos/video_010.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_011.mp4,./Region B/Fire Mask Videos/video_011.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_005.mp4,./Region B/Fire Mask Videos/video_005.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_001.mp4,./Region B/Fire Mask Videos/video_001.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_015.mp4,./Region B/Fire Mask Videos/video_015.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_014.mp4,./Region B/Fire Mask Videos/video_014.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_016.mp4,./Region B/Fire Mask Videos/video_016.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_002.mp4,./Region B/Fire Mask Videos/video_002.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_003.mp4,./Region B/Fire Mask Videos/video_003.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region B,./Region B/Infrared Videos/video_017.mp4,./Region B/Fire Mask Videos/video_017.mp4,./Region B/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_008.mp4,./Region C/Fire Mask Videos/video_008.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_009.mp4,./Region C/Fire Mask Videos/video_009.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_007.mp4,./Region C/Fire Mask Videos/video_007.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_006.mp4,./Region C/Fire Mask Videos/video_006.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_004.mp4,./Region C/Fire Mask Videos/video_004.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_010.mp4,./Region C/Fire Mask Videos/video_010.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_011.mp4,./Region C/Fire Mask Videos/video_011.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_005.mp4,./Region C/Fire Mask Videos/video_005.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_001.mp4,./Region C/Fire Mask Videos/video_001.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_002.mp4,./Region C/Fire Mask Videos/video_002.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region C,./Region C/Infrared Videos/video_003.mp4,./Region C/Fire Mask Videos/video_003.mp4,./Region C/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_032.mp4,./Region D/Fire Mask Videos/video_032.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_026.mp4,./Region D/Fire Mask Videos/video_026.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_027.mp4,./Region D/Fire Mask Videos/video_027.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_033.mp4,./Region D/Fire Mask Videos/video_033.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_019.mp4,./Region D/Fire Mask Videos/video_019.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_025.mp4,./Region D/Fire Mask Videos/video_025.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_031.mp4,./Region D/Fire Mask Videos/video_031.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_030.mp4,./Region D/Fire Mask Videos/video_030.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
Region D,./Region D/Infrared Videos/video_024.mp4,./Region D/Fire Mask Videos/video_024.mp4,./Region D/Environmental Info/P171-1020.csv,Satellite thermal view of wildfire spread dynamics,Dynamic fire front boundary mask
